N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
98,NH투자증권,"10,290",40,+0.39%,"5,000","34,128","331,666",15.82,"89,611",6.72,4.32,
99,강원랜드,"15,680",200,+1.29%,500,"33,546","213,940",13.54,"276,053",12.14,3.47,
100,한국금융지주,"59,800","1,100",+1.87%,"5,000","33,324","55,726",40.07,"50,620",4.61,8.45,
101,현대미포조선,"81,800","1,700",+2.12%,"5,000","32,673","39,942",24.06,"72,645",-17.86,-2.07,
102,현대로템,"29,300","1,250",+4.46%,"5,000","31,979","109,142",10.17,"2,452,462",13.43,14.06,
103,F&F,"82,500",600,-0.72%,100,"31,603","38,307",13.42,"64,947",6.46,60.40,
104,한화시스템,"16,260",10,+0.06%,"5,000","30,718","188,919",4.72,"743,836",11.84,-3.63,
105,HD현대일렉트릭,"83,400","2,900",-3.36%,"5,000","30,063","36,047",20.63,"210,543",18.05,22.13,
106,쌍용C&E,"5,980",10,+0.17%,100,"29,822","498,697",2.18,"161,451",12.94,7.87,
107,롯데지주,"28,050",50,+0.18%,200,"29,427","104,909",7.05,"30,430",-120.91,2.42,
108,KODEX 종합채권(AA-이상)액티브,"107,195",180,+0.17%,0,"28,296","26,397",0.00,"48,752",N/A,N/A,
109,LS,"86,900","2,900",+3.45%,"5,000","27,982","32,200",12.11,"394,590",8.42,12.00,
110,현대해상,"30,950",150,+0.49%,500,"27,669","89,400",36.68,"86,686",3.77,12.44,
111,CJ,"94,000","3,000",+3.30%,"5,000","27,426","29,177",11.21,"86,806",37.69,3.94,
112,DB하이텍,"59,200",400,-0.67%,"5,000","26,284","44,399",20.21,"177,443",9.49,40.73,
113,TIGER 200,"33,735",140,+0.42%,0,"26,094","77,350",6.93,"425,035",N/A,N/A,
114,현대차우,"107,800",100,+0.09%,"5,000","25,994","24,113",61.38,"18,297",2.59,N/A,
115,팬오션,"4,840",5,-0.10%,"1,000","25,873","534,570",13.51,"8,755,442",7.34,16.74,
116,CJ대한통운,"112,300","1,500",-1.32%,"5,000","25,618","22,812",13.11,"122,136",13.67,5.09,
117,호텔신라,"65,000",300,-0.46%,"5,000","25,511","39,248",17.65,"135,486",62.98,-8.99,
118,농심,"408,000","1,500",-0.37%,"5,000","24,817","6,083",18.54,"18,395",14.07,5.17,
119,TIGER 미국나스닥100,"92,890",0,0.00%,0,"24,792","26,690",0.01,"64,745",N/A,N/A,
120,GS리테일,"23,500",250,-1.05%,"1,000","24,609","104,718",7.45,"120,701",31.71,1.00,
121,한미사이언스,"34,600",800,-2.26%,500,"24,205","69,957",1.89,"65,949",23.39,9.78,
122,키움증권,"91,400",200,+0.22%,"5,000","23,971","26,227",24.77,"11,799",3.48,11.50,
123,한전기술,"62,700","1,600",+2.62%,200,"23,964","38,220",4.72,"80,979",60.99,3.40,
124,한화생명,"2,730",10,-0.36%,"5,000","23,711","868,530",9.30,"491,231",3.01,9.05,
125,BGF리테일,"135,500","1,400",-1.02%,"1,000","23,420","17,284",32.17,"28,871",11.82,21.85,
126,휠라홀딩스,"38,400",600,+1.59%,"1,000","23,329","60,752",43.63,"30,096",10.84,19.71,
127,제일기획,"20,150",450,+2.28%,200,"23,181","115,041",26.17,"179,682",11.92,16.64,
128,한솔케미칼,"204,000","2,000",+0.99%,"5,000","23,124","11,335",34.91,"39,680",19.10,21.36,
129,BNK금융지주,"7,170",10,+0.14%,"5,000","23,094","322,088",33.96,"287,418",3.31,8.43,
130,LG화학우,"297,500","7,000",-2.30%,"5,000","22,874","7,689",55.85,"34,670",17.88,N/A,
131,한국가스공사,"24,650",100,-0.40%,"5,000","22,755","92,313",5.38,"70,776",2.87,15.67,
132,씨에스윈드,"53,200",200,+0.38%,500,"22,435","42,171",11.57,"105,534",56.42,-0.11,
133,LS ELECTRIC,"74,700",400,-0.53%,"5,000","22,410","30,000",17.10,"189,857",12.43,5.95,
134,아모레G,"27,050",300,-1.10%,500,"22,305","82,458",9.99,"82,051",27.24,1.87,
135,에스원,"58,600",200,+0.34%,500,"22,268","37,999",54.41,"9,610",13.94,10.19,
136,LIG넥스원,"100,500",400,+0.40%,"5,000","22,110","22,000",14.05,"138,448",25.49,14.48,
137,롯데쇼핑,"76,500",400,-0.52%,"5,000","21,641","28,289",8.56,"17,518",-31.12,-3.30,
138,이마트,"74,800",500,-0.66%,"5,000","20,851","27,876",24.33,"65,831",15.17,9.59,
139,TIGER 미국S&P500,"14,970",50,+0.34%,0,"20,801","138,950",0.00,"394,529",N/A,N/A,
140,롯데에너지머티리얼즈,"45,050",150,+0.33%,500,"20,773","46,111",8.90,"128,203",-57.54,3.58,
141,KODEX 레버리지,"16,255",130,+0.81%,0,"20,628","126,900",0.57,"10,801,178",N/A,N/A,
142,JB금융지주,"10,380",40,-0.38%,"5,000","20,447","196,983",33.95,"224,805",3.37,13.76,
